PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional),,
2679815;Church/Synagogue;CONG NEV SHALOM FOUND SCHOOL;Portland;OR;;;;;;,,
2679982;Independent Center;HAPPY DAY CHRISTIAN CHILD CARE;Portland;OR;;;;;;,,
2680656;Montessori;WEST HILLS MONTESSORI SCH;Portland;OR;;;;;;,,
2681674;Independent Center;CARRIAGE HOUSE CHILDREN'S CTR;Pittsburgh;PA;;;;;;,,
2682563;Church/Synagogue;NORTHMONT CDC & PRE-SCHOOL;Pittsburgh;PA;;;;;;,,
2683127;Independent Center;WEE CARE CHILDREN'S CENTER;Heidelberg;PA;;;;;;,,
2685450;Church/Synagogue;RICHLAND LEARNING CENTER;Johnstown;PA;;;;;;,,
2686131;Independent Center;WEST CHESTER AREA DAY CARE CTR;West Chester;PA;;;;;;,,
2692738;Independent Center;CORA SERVICES-EARLY YEARS;Philadelphia;PA;;;;;;,,
2697166;Independent Center;MARTIN L KING DCC;Newport;RI;;;;;;,,
2697489;Independent Center;EAST SIDE ELC;Providence;RI;;;;;;,,
2700256;Church/Synagogue;BELIN CREATIVE LEARNING CENTER;Murrells Inlt;SC;;;;;;,,
2703935;Church/Synagogue;MIDLANDS CMTY DEVELOPMENT CORP;Columbia;SC;;;;;;,,
2708404;Church/Synagogue;CRIEVE HALL CH OF CHRIST KDGN;Nashville;TN;;;;;;,,
2709264;Church/Synagogue;HARPETH HEIGHTS PRE-SCHOOL;Nashville;TN;;;;;;,,
2710885;Church/Synagogue;WEST END UNITED METH PRE-SCH;Nashville;TN;;;;;;,,
2711712;Independent Center;SEWANEE CHILDREN'S CENTER;Sewanee;TN;;;;;;,,
2712821;Church/Synagogue;GOOD SHEPHERD SCHOOL;Lookout Mtn;TN;;;;;;,,
2714154;Church/Synagogue;CHURCH OF CHRIST PRE-SCHOOL;Centerville;TN;;;;;;,,
2714544;Independent Center;CEDAR BLUFF PLAYSCHOOL I;Knoxville;TN;;;;;;,,
2719843;Church/Synagogue;FARMINGTON PRESBYTERIAN KDGN;Germantown;TN;;;;;;,,
2721054;Independent Center;ROULHAC'S PRE-SCH & CHILD CR;Memphis;TN;;;;;;,,
2722280;Church/Synagogue;FIRST PRESBYTERIAN PRE-SCHOOL;Gallatin;TN;;;;;;,,
2722345;Church/Synagogue;HENDERSONVILLE BIBLE KDGN;Hendersonvlle;TN;;;;;;,,
2723416;Church/Synagogue;BERRYS CHAPEL PRE-SCHOOL;Franklin;TN;;;;;;,,
2723428;Church/Synagogue;BRENTWOOD YOUNG CHILDRENS SCH;Brentwood;TN;;;;;;,,
2725842;Church/Synagogue;JEWISH COMMUNITY CENTER DCC;San Antonio;TX;;;;;;,,
