PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional);Original_Name;Normalized_Name;Normalized_Name_Core;Search_Name_Primary;Search_Name_Variants;Cleaning_Rules_Applied
2911716;Montessori;MONT SCHOOL OF CORPUS CHRISTI;Corp Christi;TX;;;;;;,,;MONT SCHOOL OF CORPUS CHRISTI;MONT SCHOOL OF CORPUS CHRISTI;MONT CORPUS;MONT SCHOOL OF CORPUS CHRISTI;MONT SCHOOL OF CORPUS CHRISTI || MONT OF CORPUS CHRISTI || MONT CORPUS CHRISTI || MONT CORPUS;removed city tokens from core: CHRISTI
2916742;Church/Synagogue;GRIFFIN FIRST BAPTIST WKDY EDU;Griffin;GA;;;;;;,,;GRIFFIN FIRST BAPTIST WKDY EDU;GRIFFIN FIRST BAPTIST WKDY EDU;FIRST BAPTIST WKDY EDU;GRIFFIN FIRST BAPTIST WKDY EDU;GRIFFIN FIRST BAPTIST WKDY EDU || FIRST BAPTIST WKDY EDU;removed city tokens from core: GRIFFIN
2919330;Independent Center;LENOX CHILDREN'S CENTER;Lenox;MA;;;;;;,,;LENOX CHILDREN'S CENTER;LENOX CHILDRENS CENTER;CHILDRENS CENTER;LENOX CHILDRENS CENTER;LENOX CHILDRENS CENTER || CHILDRENS CENTER || LENOX;removed city tokens from core: LENOX
2919689;Independent Center;SUNNYSIDE CHILD CARE-SMITH;Northampton;MA;;;;;;,,;SUNNYSIDE CHILD CARE-SMITH;SUNNYSIDE CHILD CARE SMITH;SUNNYSIDE SMITH;SUNNYSIDE CHILD CARE SMITH;SUNNYSIDE CHILD CARE SMITH || SUNNYSIDE SMITH;
2923733;Church/Synagogue;PLAZA PRESBY WEEKDAY SCHOOL;Charlotte;NC;;;;;;,,;PLAZA PRESBY WEEKDAY SCHOOL;PLAZA PRESBY WEEKDAY SCHOOL;PLAZA PRESBY WEEKDAY;PLAZA PRESBYTERIAN WEEKDAY SCHOOL;PLAZA PRESBYTERIAN WEEKDAY SCHOOL || PLAZA PRESBY WEEKDAY SCHOOL || PLAZA PRESBY WEEKDAY;PRESBY->PRESBYTERIAN
2925640;Montessori;GREENE TOWNE MONTE SCHOOL;Philadelphia;PA;;;;;;,,;GREENE TOWNE MONTE SCHOOL;GREENE TOWNE MONTE SCHOOL;GREENE TOWNE MONTE;GREENE TOWNE MONTE SCHOOL;GREENE TOWNE MONTE SCHOOL || GREENE TOWNE MONTE;
2931821;Montessori;SOLON MONT CREATIVE PLAYROOMS;Solon;OH;;;;;;,,;SOLON MONT CREATIVE PLAYROOMS;SOLON MONT CREATIVE PLAYROOMS;MONT CREATIVE PLAYROOMS;SOLON MONT CREATIVE PLAYROOMS;SOLON MONT CREATIVE PLAYROOMS || MONT CREATIVE PLAYROOMS;removed city tokens from core: SOLON
2934550;Church/Synagogue;STAR KING PARENT CHLD WORKSHOP;Santa Barbara;CA;;;;;;,,;STAR KING PARENT CHLD WORKSHOP;STAR KING PARENT CHLD WORKSHOP;STAR KING PARENT CHLD WORKSHOP;STAR KING PARENT CHILD WORKSHOP;STAR KING PARENT CHILD WORKSHOP || STAR KING PARENT CHLD WORKSHOP;CHLD->CHILD
2939524;Church/Synagogue;FIRST UNITED METH PRE-SCHOOL;Smyrna;GA;;;;;;,,;FIRST UNITED METH PRE-SCHOOL;FIRST UNITED METH PRESCHOOL;FIRST UNITED METH;FIRST UNITED METHODIST PRESCHOOL;FIRST UNITED METHODIST PRESCHOOL || FIRST UNITED METH PRESCHOOL || FIRST UNITED METH;METH->METHODIST
2940054;Independent Center;STEPPING STONES DAY CARE CTR;Lawrence;KS;;;;;;,,;STEPPING STONES DAY CARE CTR;STEPPING STONES DAY CARE CTR;STEPPING STONES;STEPPING STONES DAY CARE CENTER;STEPPING STONES DAY CARE CENTER || STEPPING STONES DAY CARE CENTRE || STEPPING STONES DAY CARE CTR || STEPPING STONES;CTR->CENTER || CTR->CENTRE
